ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2019,"2019",62843,135,"United States","01000US","united-states"
2019,"2019",75235,231.99999999999997,"California","04000US06","california"
2019,"2019",63362,581,"San Bernardino County, CA","05000US06071","san-bernardino-county-ca"
2019,"2019",64868,3014,"Highland, CA","16000US0633588","highland-ca"
2019,"2019",65121,488,"Riverside-San Bernardino-Ontario, CA","31000US40140","riverside-san-bernardino-ontario-ca"
2019,"2019",64666,2726,"Phelan, Lake Arrowhead & Big Bear City PUMA, CA","79500US0607104","phelan-lake-arrowhead-big-bear-city-puma-ca"
2019,"2019",74466,2224,"Redlands & Yucaipa Cities PUMA, CA","79500US0607105","redlands-yucaipa-cities-puma-ca"
2019,"2019",51207,1709,"San Bernardino City (East) PUMA, CA","79500US0607107","san-bernardino-city-east-puma-ca"
2018,"2018",60293,140,"United States","01000US","united-states"
2018,"2018",71228,217,"California","04000US06","california"
2018,"2018",60164,626,"San Bernardino County, CA","05000US06071","san-bernardino-county-ca"
2018,"2018",59395,3661.9999999999995,"Highland, CA","16000US0633588","highland-ca"
2018,"2018",62301,383,"Riverside-San Bernardino-Ontario, CA","31000US40140","riverside-san-bernardino-ontario-ca"
2018,"2018",60235,2435,"Phelan, Lake Arrowhead & Big Bear City PUMA, CA","79500US0607104","phelan-lake-arrowhead-big-bear-city-puma-ca"
2018,"2018",69194,3190,"Redlands & Yucaipa Cities PUMA, CA","79500US0607105","redlands-yucaipa-cities-puma-ca"
2018,"2018",46425,1860,"San Bernardino City (East) PUMA, CA","79500US0607107","san-bernardino-city-east-puma-ca"
2017,"2017",57652,138,"United States","01000US","united-states"
2017,"2017",67169,192,"California","04000US06","california"
2017,"2017",57156,594,"San Bernardino County, CA","05000US06071","san-bernardino-county-ca"
2017,"2017",55130,6009,"Highland, CA","16000US0633588","highland-ca"
2017,"2017",59173,392,"Riverside-San Bernardino-Ontario, CA","31000US40140","riverside-san-bernardino-ontario-ca"
2017,"2017",58530,2550,"Phelan, Lake Arrowhead & Big Bear City PUMA, CA","79500US0607104","phelan-lake-arrowhead-big-bear-city-puma-ca"
2017,"2017",63900,2308,"Redlands & Yucaipa Cities PUMA, CA","79500US0607105","redlands-yucaipa-cities-puma-ca"
2017,"2017",43708,1807.9999999999998,"San Bernardino City (East) PUMA, CA","79500US0607107","san-bernardino-city-east-puma-ca"
2016,"2016",55322,120.00000000000001,"United States","01000US","united-states"
2016,"2016",63783,188,"California","04000US06","california"
2016,"2016",54469,559,"San Bernardino County, CA","05000US06071","san-bernardino-county-ca"
2016,"2016",53504,6735,"Highland, CA","16000US0633588","highland-ca"
2016,"2016",56295,391,"Riverside-San Bernardino-Ontario, CA","31000US40140","riverside-san-bernardino-ontario-ca"
2016,"2016",55456,2350,"Phelan, Lake Arrowhead & Big Bear City PUMA, CA","79500US0607104","phelan-lake-arrowhead-big-bear-city-puma-ca"
2016,"2016",62246,2054,"Redlands & Yucaipa Cities PUMA, CA","79500US0607105","redlands-yucaipa-cities-puma-ca"
2016,"2016",41784,1313,"San Bernardino City (East) PUMA, CA","79500US0607107","san-bernardino-city-east-puma-ca"
2015,"2015",53889,109.99999999999999,"United States","01000US","united-states"
2015,"2015",61818,156,"California","04000US06","california"
2015,"2015",53433,571,"San Bernardino County, CA","05000US06071","san-bernardino-county-ca"
2015,"2015",53851,4640,"Highland, CA","16000US0633588","highland-ca"
2015,"2015",55092,367,"Riverside-San Bernardino-Ontario, CA","31000US40140","riverside-san-bernardino-ontario-ca"
2015,"2015",53771,2599,"Phelan, Lake Arrowhead & Big Bear City PUMA, CA","79500US0607104","phelan-lake-arrowhead-big-bear-city-puma-ca"
2015,"2015",61919,2177,"Redlands & Yucaipa Cities PUMA, CA","79500US0607105","redlands-yucaipa-cities-puma-ca"
2015,"2015",41999,1739,"San Bernardino City (East) PUMA, CA","79500US0607107","san-bernardino-city-east-puma-ca"
2014,"2014",53482,95,"United States","01000US","united-states"
2014,"2014",61489,154,"California","04000US06","california"
2014,"2014",54100,451.99999999999994,"San Bernardino County, CA","05000US06071","san-bernardino-county-ca"
2014,"2014",53385,3640,"Highland, CA","16000US0633588","highland-ca"
2014,"2014",55362,401,"Riverside-San Bernardino-Ontario, CA","31000US40140","riverside-san-bernardino-ontario-ca"
2014,"2014",54350,2160,"Phelan, Lake Arrowhead & Big Bear City PUMA, CA","79500US0607104","phelan-lake-arrowhead-big-bear-city-puma-ca"
2014,"2014",63726,2388,"Redlands & Yucaipa Cities PUMA, CA","79500US0607105","redlands-yucaipa-cities-puma-ca"
2014,"2014",43129,1526,"San Bernardino City (East) PUMA, CA","79500US0607107","san-bernardino-city-east-puma-ca"
2013,"2013",53046,89,"United States","01000US","united-states"
2013,"2013",61094,157,"California","04000US06","california"
2013,"2013",54090,511.00000000000006,"San Bernardino County, CA","05000US06071","san-bernardino-county-ca"
2013,"2013",54433,3482,"Highland, CA","16000US0633588","highland-ca"
2013,"2013",55269,406,"Riverside-San Bernardino-Ontario, CA","31000US40140","riverside-san-bernardino-ontario-ca"
2013,"2013",52650,2268,"Phelan, Lake Arrowhead & Big Bear City PUMA, CA","79500US0607104","phelan-lake-arrowhead-big-bear-city-puma-ca"
2013,"2013",63555,2380,"Redlands & Yucaipa Cities PUMA, CA","79500US0607105","redlands-yucaipa-cities-puma-ca"
2013,"2013",43506,2429,"San Bernardino City (East) PUMA, CA","79500US0607107","san-bernardino-city-east-puma-ca"
